estimator,time,n,p,m,ne,s,graph_type,id
Contextual DAG,2.358373158,1000,10,2,10,0.5,erdos-renyi,8
Contextual DAG,6.278396496,1000,20,2,10,0.5,erdos-renyi,8
Contextual DAG,51.881538513,1000,30,2,10,0.5,erdos-renyi,8
Contextual DAG,149.873435122,1000,40,2,10,0.5,erdos-renyi,8
Contextual DAG,498.353526346,1000,50,2,10,0.5,erdos-renyi,8
Contextual DAG,3.21457414,1000,10,2,10,0.5,erdos-renyi,9
Contextual DAG,3.961326323,1000,20,2,10,0.5,erdos-renyi,9
Contextual DAG,11.606445857,1000,30,2,10,0.5,erdos-renyi,9
Contextual DAG,179.295309352,1000,40,2,10,0.5,erdos-renyi,9
Contextual DAG,468.67184013,1000,50,2,10,0.5,erdos-renyi,9
Contextual DAG,4.121146306,1000,10,2,10,0.5,erdos-renyi,10
Contextual DAG,7.254695451,1000,20,2,10,0.5,erdos-renyi,10
Contextual DAG,37.847756505,1000,30,2,10,0.5,erdos-renyi,10
Contextual DAG,184.206930883,1000,40,2,10,0.5,erdos-renyi,10
Contextual DAG,444.271710321,1000,50,2,10,0.5,erdos-renyi,10
