estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Contextual DAG,0.782254402646184,5.122707147375079,5.147375079063884,0.5446401132546325,9.49146110056926,1.0,3162,20,5,10,1,erdos-renyi,1
Fixed DAG,0.48804252202071124,0.0,0.0,1.0,10.0,1.0,3162,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.4564646509906781,1.1438962681846931,1.4430740037950665,0.9397352289846709,10.240037950664137,1.0,3162,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.42103743296437723,0.8444022770398482,1.038583175205566,0.9524173024723493,10.086021505376344,1.0,3162,20,5,10,1,erdos-renyi,1
Clustered DAG,0.7697624045136463,7.879506641366224,8.611954459203035,0.476940614314822,8.81404174573055,1.0,3162,20,5,10,1,erdos-renyi,1
Contextual DAG,0.6935293908734349,3.1308,3.5974,0.7341683367562553,9.7237,1.0,10000,20,5,10,1,erdos-renyi,1
Fixed DAG,0.5916941641274215,2.0,3.0,0.8000000000000006,10.0,1.0,10000,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.5504407727952159,2.2259,3.2519,0.7894651820994429,10.0164,1.0,10000,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.5321870537352633,0.4998,0.6428,0.9718249348348763,9.9688,1.0,10000,20,5,10,1,erdos-renyi,1
Clustered DAG,0.7468930775193554,7.6821,8.5191,0.49931545667539723,9.3978,1.0,10000,20,5,10,1,erdos-renyi,1
Contextual DAG,1.020410601053186,13.92,14.44,0.06803521865384231,6.42,1.0,100,20,2,10,1,erdos-renyi,2
Fixed DAG,0.6412577399262254,5.0,10.0,0.6666666666666667,8.0,1.0,100,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.9699130846889994,14.54,15.35,0.16174850011085837,8.12,1.0,100,20,2,10,1,erdos-renyi,2
Sorted DAG (truth),0.9317653636631993,12.46,13.33,0.20966177574474912,6.74,1.0,100,20,2,10,1,erdos-renyi,2
Clustered DAG,0.6412577399262254,5.0,10.0,0.6666666666666667,8.0,1.0,100,20,2,10,1,erdos-renyi,2
Contextual DAG,0.8734798048818538,12.984177215189874,13.89873417721519,0.30751009036897786,10.933544303797468,1.0,316,20,2,10,1,erdos-renyi,2
Fixed DAG,0.49832314086920665,1.0,4.0,0.8999999999999994,10.0,1.0,316,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.8561748760320905,9.990506329113924,11.044303797468354,0.3473032521262692,7.256329113924051,1.0,316,20,2,10,1,erdos-renyi,2
