estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Sorted DAG (truth),0.48036912849954255,1.379,1.759,0.8323469970566514,4.343,1.0,1000,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.6286924730185878,3.668,3.993,0.6030135420135421,4.919,1.0,1000,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.31734343078576077,1.5464895635673623,1.8402909550917141,0.8152128877333895,4.594876660341556,1.0,3162,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.9465882270903663,5.214104996837444,5.118595825426945,0.31343443610995786,4.0,1.0,3162,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5769607551389,3.1388361796331434,3.091081593927894,0.5728044430505719,4.105313092979127,1.0,3162,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.45862686511144934,1.6299810246679316,1.9250474383301708,0.7751261335258052,3.8206831119544593,1.0,3162,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.5680390206105671,3.447817836812144,3.9082858950031625,0.6254488712826698,4.986084756483239,1.0,3162,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.26176197932780276,1.2435,1.5111,0.8684836028126237,5.3668,1.0,10000,20,5,10,0.5,erdos-renyi,1
Fixed DAG,0.9395910566030339,5.4613,5.68,0.2878014446664447,4.0,1.0,10000,20,5,10,0.5,erdos-renyi,1
Sorted DAG (fixed),0.5566727247593459,3.0906,2.5576,0.5181217333737889,4.5419,1.0,10000,20,5,10,0.5,erdos-renyi,1
Sorted DAG (truth),0.1762020196500925,1.0439,1.3387,0.9037232202886029,5.852,1.0,10000,20,5,10,0.5,erdos-renyi,1
Clustered DAG,0.480318529445324,2.9245,3.334,0.6624860068363012,4.8737,1.0,10000,20,5,10,0.5,erdos-renyi,1
Contextual DAG,0.8187990056950826,5.37,5.55,0.30508855211014385,3.67,1.0,100,20,2,10,0.5,scale-free,1
Fixed DAG,0.9317105580245082,6.14,6.66,0.2755823620823621,5.0,1.0,100,20,2,10,0.5,scale-free,1
Sorted DAG (fixed),0.7853899376509522,5.7,5.97,0.25206698825197277,3.42,1.0,100,20,2,10,0.5,scale-free,1
Sorted DAG (truth),0.684868006651166,3.66,4.12,0.5033623321123322,3.59,1.0,100,20,2,10,0.5,scale-free,1
Clustered DAG,0.9317105580245082,6.14,6.66,0.2755823620823621,5.0,1.0,100,20,2,10,0.5,scale-free,1
Contextual DAG,0.520961501308191,2.8765822784810124,2.699367088607595,0.5673711814120659,4.1613924050632916,1.0,316,20,2,10,0.5,scale-free,1
Fixed DAG,0.9390897609358401,4.8924050632911396,4.5664556962025316,0.3797566533326028,4.0,1.0,316,20,2,10,0.5,scale-free,1
Sorted DAG (fixed),0.6430575533381785,5.436708860759493,5.427215189873418,0.4708030234201236,5.5886075949367084,1.0,316,20,2,10,0.5,scale-free,1
Sorted DAG (truth),0.4247694362080966,1.5981012658227849,1.6613924050632911,0.7635068373340899,3.990506329113924,1.0,316,20,2,10,0.5,scale-free,1
Clustered DAG,0.6124397239656793,3.7151898734177213,3.939873417721519,0.6001458105888486,4.006329113924051,1.0,316,20,2,10,0.5,scale-free,1
Contextual DAG,0.3186200498273734,0.947,1.063,0.8579432733932729,4.346,1.0,1000,20,2,10,0.5,scale-free,1
Fixed DAG,0.8862847955744021,4.284,4.09,0.5056697635697635,6.0,1.0,1000,20,2,10,0.5,scale-free,1
Sorted DAG (fixed),0.45972096948582686,2.392,2.502,0.6791602335143355,4.644,1.0,1000,20,2,10,0.5,scale-free,1
Sorted DAG (truth),0.26053225055673923,0.797,0.868,0.8804544760794756,4.794,1.0,1000,20,2,10,0.5,scale-free,1
Clustered DAG,0.5434621631036924,2.962,3.159,0.6804889388389387,4.969,1.0,1000,20,2,10,0.5,scale-free,1
Contextual DAG,0.2337244728255181,1.0101201771030992,1.183111954459203,0.8919671411216223,5.055660974067046,1.0,3162,20,2,10,0.5,scale-free,1
Fixed DAG,0.9305623576268943,5.562934851359898,5.719165085388994,0.3335820251854407,5.0,1.0,3162,20,2,10,0.5,scale-free,1
Sorted DAG (fixed),0.6003052890094384,3.2008222643896267,3.4405439595192915,0.537161306611022,4.829538266919671,1.0,3162,20,2,10,0.5,scale-free,1
Sorted DAG (truth),0.21916732076836082,0.3425047438330171,0.45351043643263755,0.9596852748418211,4.8551549652118915,1.0,3162,20,2,10,0.5,scale-free,1
Clustered DAG,0.4438757402787565,2.713788741302973,2.9190385831752055,0.7172562590968663,5.001265022137887,1.0,3162,20,2,10,0.5,scale-free,1
Contextual DAG,0.22427021051080362,0.3707,0.4368,0.963160695970696,4.7315,1.0,10000,20,2,10,0.5,scale-free,1
Fixed DAG,0.8644789231157048,4.3591,4.6929,0.4666408197358198,5.0,1.0,10000,20,2,10,0.5,scale-free,1
Sorted DAG (fixed),0.548202738600421,2.7495,2.5555,0.5786690304140306,4.8825,1.0,10000,20,2,10,0.5,scale-free,1
Sorted DAG (truth),0.14734372211178454,0.2459,0.334,0.9762206660333129,5.1635,1.0,10000,20,2,10,0.5,scale-free,1
Clustered DAG,0.36916918394064013,1.367,1.456,0.8460776368076367,4.824,1.0,10000,20,2,10,0.5,scale-free,1
Contextual DAG,0.8984399155264092,10.26,10.96,0.272796495836374,9.08,1.0,100,20,5,10,0.5,scale-free,1
Fixed DAG,0.9094335836185747,6.01,7.08,0.39925874125874133,7.0,1.0,100,20,5,10,0.5,scale-free,1
Sorted DAG (fixed),0.8533204219766346,8.9,9.46,0.28450290698055214,7.97,1.0,100,20,5,10,0.5,scale-free,1
Sorted DAG (truth),0.9024526288783897,8.67,9.33,0.3045167111153309,7.58,1.0,100,20,5,10,0.5,scale-free,1
Clustered DAG,0.9094335836185747,6.01,7.08,0.39925874125874133,7.0,1.0,100,20,5,10,0.5,scale-free,1
Contextual DAG,0.8546679700882421,5.262658227848101,5.518987341772152,0.3200701481583973,3.7563291139240507,1.0,316,20,5,10,0.5,scale-free,1
Fixed DAG,0.9359511543307416,5.3765822784810124,5.439873417721519,0.29755971876225046,4.0,1.0,316,20,5,10,0.5,scale-free,1
Sorted DAG (fixed),0.8421634698063969,6.246835443037975,6.367088607594937,0.2826358293170124,5.306962025316456,1.0,316,20,5,10,0.5,scale-free,1
Sorted DAG (truth),0.6839323414230638,4.762658227848101,5.2594936708860756,0.5292575187206303,5.841772151898734,1.0,316,20,5,10,0.5,scale-free,1
Clustered DAG,0.8904034372867112,5.8955696202531644,6.1234177215189876,0.296929770919905,4.617088607594937,1.0,316,20,5,10,0.5,scale-free,1
Contextual DAG,0.6229089252179372,2.556,2.878,0.6528457473176976,4.077,1.0,1000,20,5,10,0.5,scale-free,1
Fixed DAG,0.9289870597726052,5.185,5.314,0.30383995448995443,4.0,1.0,1000,20,5,10,0.5,scale-free,1
Sorted DAG (fixed),0.6650094487968522,4.195,4.075,0.47418278527030205,4.951,1.0,1000,20,5,10,0.5,scale-free,1
Sorted DAG (truth),0.5283118090431229,1.938,2.163,0.7381330195604185,3.874,1.0,1000,20,5,10,0.5,scale-free,1
Clustered DAG,0.7203226834635217,4.149,4.57,0.5408157225127814,4.84,1.0,1000,20,5,10,0.5,scale-free,1
Contextual DAG,0.30592607806413885,1.8488298545224542,2.163504111321948,0.8116800416965239,4.933586337760911,1.0,3162,20,5,10,0.5,scale-free,1
Fixed DAG,0.9273817601850471,5.6878557874762805,5.841555977229602,0.3434453995649442,6.0,1.0,3162,20,5,10,0.5,scale-free,1
Sorted DAG (fixed),0.5913281559925728,3.7160025300442756,3.622707147375079,0.5077847622443037,4.557242251739406,1.0,3162,20,5,10,0.5,scale-free,1
Sorted DAG (truth),0.45489026060832916,1.5809614168247945,1.8352308665401644,0.7846723123983272,3.57337128399747,1.0,3162,20,5,10,0.5,scale-free,1
Clustered DAG,0.5761780920031478,3.8668564199873496,4.285578747628083,0.5748032224438633,4.848829854522454,1.0,3162,20,5,10,0.5,scale-free,1
Contextual DAG,0.19497998367348937,0.9364,1.1809,0.9005197303778693,5.4157,1.0,10000,20,5,10,0.5,scale-free,1
Fixed DAG,0.8788435946225563,5.1668,5.308,0.4361753296703297,6.0,1.0,10000,20,5,10,0.5,scale-free,1
Sorted DAG (fixed),0.4245853039428482,2.4087,2.1019,0.6530353703468874,5.4198,1.0,10000,20,5,10,0.5,scale-free,1
Sorted DAG (truth),0.17813576144823695,1.2618,1.5285,0.8928216725731307,6.0884,1.0,10000,20,5,10,0.5,scale-free,1
Clustered DAG,0.4707922362555233,2.6136,2.999,0.7037737545461077,4.8465,1.0,10000,20,5,10,0.5,scale-free,1
Contextual DAG,0.6223165549752799,3.79,4.12,0.4514078784992097,3.91,1.0,100,20,2,10,0.5,erdos-renyi,2
Fixed DAG,0.8829164445927208,4.96,4.75,0.4065643800643801,6.0,1.0,100,20,2,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.6363950522205989,6.71,6.87,0.34110187473675113,6.76,1.0,100,20,2,10,0.5,erdos-renyi,2
